3263-INFO-2025-03-10 10:44:41,051 Script Start
3263-INFO-2025-03-10 10:45:10,854 Path:  /Users/lixu/Documents/GitHub/CYBV312/CYBV312Works/assignments/assignment6/TESTDIR/Farm.jpg
3263-INFO-2025-03-10 10:45:10,854 File Size:  96831
3263-INFO-2025-03-10 10:45:10,854 Last-Modified:  2013-09-19 21:01:38
3263-INFO-2025-03-10 10:45:10,854 Last-Accessed:  2025-03-10 09:20:29
3263-INFO-2025-03-10 10:45:10,854 Created:  2025-03-10 09:20:27
3263-INFO-2025-03-10 10:45:10,854 SHA-256:  176fbdfc84f38ac39ffe369357194b0cb4351d4ee15dd429887007b4be8d8c05
3263-INFO-2025-03-10 10:45:10,854 ======================================================================

3263-INFO-2025-03-10 10:45:10,858 File Processed:
3263-INFO-2025-03-10 10:45:10,859 Path:  /Users/lixu/Documents/GitHub/CYBV312/CYBV312Works/assignments/assignment6/TESTDIR/Castle copy.JPG
3263-INFO-2025-03-10 10:45:10,859 File Size:  1224201
3263-INFO-2025-03-10 10:45:10,859 Last-Modified:  2013-09-19 21:08:28
3263-INFO-2025-03-10 10:45:10,859 Last-Accessed:  2025-03-10 09:20:29
3263-INFO-2025-03-10 10:45:10,859 Created:  2025-03-10 09:20:27
3263-INFO-2025-03-10 10:45:10,859 SHA-256:  b6cd6031f40c9164de8b77686318ca702a9dc6c1853beb2fbbe2efc534097278
3263-INFO-2025-03-10 10:45:10,859 ======================================================================

3263-INFO-2025-03-10 10:45:10,861 File Processed:
3263-INFO-2025-03-10 10:45:10,861 Path:  /Users/lixu/Documents/GitHub/CYBV312/CYBV312Works/assignments/assignment6/TESTDIR/Disney copy.jpg
3263-INFO-2025-03-10 10:45:10,861 File Size:  304930
3263-INFO-2025-03-10 10:45:10,861 Last-Modified:  2013-09-19 21:26:30
3263-INFO-2025-03-10 10:45:10,861 Last-Accessed:  2025-03-10 09:20:29
3263-INFO-2025-03-10 10:45:10,861 Created:  2025-03-10 09:20:27
3263-INFO-2025-03-10 10:45:10,861 SHA-256:  d27f8cc8192f3f9f1361b7fc8739e6d4361d123650d717264a7242d8984d881f
3263-INFO-2025-03-10 10:45:10,861 ======================================================================

3263-INFO-2025-03-10 10:45:10,863 File Processed:
3263-INFO-2025-03-10 10:45:10,864 Path:  /Users/lixu/Documents/GitHub/CYBV312/CYBV312Works/assignments/assignment6/TESTDIR/Disney.jpg
3263-INFO-2025-03-10 10:45:10,864 File Size:  304930
3263-INFO-2025-03-10 10:45:10,864 Last-Modified:  2013-09-19 21:26:30
3263-INFO-2025-03-10 10:45:10,864 Last-Accessed:  2025-03-10 09:20:29
3263-INFO-2025-03-10 10:45:10,864 Created:  2025-03-10 09:20:27
3263-INFO-2025-03-10 10:45:10,864 SHA-256:  d27f8cc8192f3f9f1361b7fc8739e6d4361d123650d717264a7242d8984d881f
3263-INFO-2025-03-10 10:45:10,864 ======================================================================

3263-INFO-2025-03-10 10:45:10,865 File Processed:
3263-INFO-2025-03-10 10:45:10,865 Path:  /Users/lixu/Documents/GitHub/CYBV312/CYBV312Works/assignments/assignment6/TESTDIR/Turtle copy.jpg
3263-INFO-2025-03-10 10:45:10,865 File Size:  91329
3263-INFO-2025-03-10 10:45:10,865 Last-Modified:  2013-09-19 21:39:58
3263-INFO-2025-03-10 10:45:10,866 Last-Accessed:  2025-03-10 09:20:29
3263-INFO-2025-03-10 10:45:10,866 Created:  2025-03-10 09:20:27
3263-INFO-2025-03-10 10:45:10,866 SHA-256:  10633b702e6ebc69d5bc383d376ed1e990b1dcbbabaa0b2550da9dadd129e485
3263-INFO-2025-03-10 10:45:10,866 ======================================================================

3263-INFO-2025-03-10 10:45:10,871 File Processed:
3263-INFO-2025-03-10 10:45:10,872 Path:  /Users/lixu/Documents/GitHub/CYBV312/CYBV312Works/assignments/assignment6/TESTDIR/CoastLine copy.JPG
3263-INFO-2025-03-10 10:45:10,872 File Size:  1997636
3263-INFO-2025-03-10 10:45:10,872 Last-Modified:  2019-02-14 10:02:06
3263-INFO-2025-03-10 10:45:10,872 Last-Accessed:  2025-03-10 09:20:29
3263-INFO-2025-03-10 10:45:10,872 Created:  2025-03-10 09:20:27
3263-INFO-2025-03-10 10:45:10,872 SHA-256:  818d1ce0bcb3373aacd34f03165693e9964717851f795aef4b40f08bfdcfe7d3
3263-INFO-2025-03-10 10:45:10,872 ======================================================================

3263-INFO-2025-03-10 10:45:10,874 File Processed:
3263-INFO-2025-03-10 10:45:10,874 Path:  /Users/lixu/Documents/GitHub/CYBV312/CYBV312Works/assignments/assignment6/TESTDIR/Cat.jpg
3263-INFO-2025-03-10 10:45:10,874 File Size:  446759
3263-INFO-2025-03-10 10:45:10,874 Last-Modified:  2013-09-19 21:22:52
3263-INFO-2025-03-10 10:45:10,874 Last-Accessed:  2025-03-10 09:20:29
3263-INFO-2025-03-10 10:45:10,874 Created:  2025-03-10 09:20:27
3263-INFO-2025-03-10 10:45:10,874 SHA-256:  52d5722249b00842f2e96cc68808048f0341a6f9b5e65eb11585ef7b6967de1c
3263-INFO-2025-03-10 10:45:10,875 ======================================================================

3263-INFO-2025-03-10 10:45:10,877 File Processed:
3263-INFO-2025-03-10 10:45:10,877 Path:  /Users/lixu/Documents/GitHub/CYBV312/CYBV312Works/assignments/assignment6/TESTDIR/Cat copy.jpg
3263-INFO-2025-03-10 10:45:10,877 File Size:  446759
3263-INFO-2025-03-10 10:45:10,877 Last-Modified:  2013-09-19 21:22:52
3263-INFO-2025-03-10 10:45:10,877 Last-Accessed:  2025-03-10 09:20:29
