File Path,File Size (Bytes),SHA-256 Hash,Modified Time,Accessed Time,Created Time
/Users/jordanlanham/Documents/GitHub/CYBV-312/TESTDIR/Turtle.jpg,91329,10633b702e6ebc69d5bc383d376ed1e990b1dcbbabaa0b2550da9dadd129e485,2013-09-19 20:39:58,2025-03-06 14:31:07,2025-03-06 14:14:08
/Users/jordanlanham/Documents/GitHub/CYBV-312/TESTDIR/Castle.JPG,1224201,b6cd6031f40c9164de8b77686318ca702a9dc6c1853beb2fbbe2efc534097278,2013-09-19 20:08:28,2025-03-06 14:31:07,2025-03-06 14:14:10
/Users/jordanlanham/Documents/GitHub/CYBV-312/TESTDIR/Cat.jpg,446759,52d5722249b00842f2e96cc68808048f0341a6f9b5e65eb11585ef7b6967de1c,2013-09-19 20:22:52,2025-03-06 14:31:07,2025-03-06 14:14:10
/Users/jordanlanham/Documents/GitHub/CYBV-312/TESTDIR/CoastLine.JPG,1997636,818d1ce0bcb3373aacd34f03165693e9964717851f795aef4b40f08bfdcfe7d3,2019-02-14 10:02:06,2025-03-06 14:31:07,2025-03-06 14:14:10
/Users/jordanlanham/Documents/GitHub/CYBV-312/TESTDIR/Deutchland.JPG,600630,08447ed9d5639d36963ce554ee2ae61e63734d3eb445353cd83657512abe8643,2013-09-19 21:04:44,2025-03-06 14:31:07,2025-03-06 14:14:10
/Users/jordanlanham/Documents/GitHub/CYBV-312/TESTDIR/Disney.jpg,304930,d27f8cc8192f3f9f1361b7fc8739e6d4361d123650d717264a7242d8984d881f,2013-09-19 20:26:30,2025-03-06 14:31:07,2025-03-06 14:14:10
/Users/jordanlanham/Documents/GitHub/CYBV-312/TESTDIR/Farm.jpg,96831,176fbdfc84f38ac39ffe369357194b0cb4351d4ee15dd429887007b4be8d8c05,2013-09-19 20:01:38,2025-03-06 14:31:07,2025-03-06 14:14:10
/Users/jordanlanham/Documents/GitHub/CYBV-312/TESTDIR/Munich.JPG,252607,41a5d87f5acdeacefbf3f53eb45be0003ef65db7312d5dcd1dd54276d87a772d,2013-09-19 20:58:44,2025-03-06 14:31:07,2025-03-06 14:14:10
/Users/jordanlanham/Documents/GitHub/CYBV-312/TESTDIR/more/Biking.jpg,624744,05755324b6476d2b31f2d88f1210782c3fdce880e4b6bfa9a5edb23d8be5bedb,2016-07-05 20:50:56,2025-03-06 14:28:27,2025-03-06 14:14:10
/Users/jordanlanham/Documents/GitHub/CYBV-312/TESTDIR/more/Cat.jpg,446759,52d5722249b00842f2e96cc68808048f0341a6f9b5e65eb11585ef7b6967de1c,2013-09-19 20:22:52,2025-03-06 14:28:27,2025-03-06 14:14:10
/Users/jordanlanham/Documents/GitHub/CYBV-312/TESTDIR/more/Deutchland.JPG,600630,08447ed9d5639d36963ce554ee2ae61e63734d3eb445353cd83657512abe8643,2013-09-19 21:04:44,2025-03-06 14:28:28,2025-03-06 14:14:10
/Users/jordanlanham/Documents/GitHub/CYBV-312/TESTDIR/more2/Deutchland.JPG,600630,08447ed9d5639d36963ce554ee2ae61e63734d3eb445353cd83657512abe8643,2013-09-19 21:04:44,2025-03-06 14:28:28,2025-03-06 14:14:10
/Users/jordanlanham/Documents/GitHub/CYBV-312/TESTDIR/more2/Disney.jpg,304930,d27f8cc8192f3f9f1361b7fc8739e6d4361d123650d717264a7242d8984d881f,2013-09-19 20:26:30,2025-03-06 14:28:28,2025-03-06 14:14:10
/Users/jordanlanham/Documents/GitHub/CYBV-312/TESTDIR/more2/Farm.jpg,96831,176fbdfc84f38ac39ffe369357194b0cb4351d4ee15dd429887007b4be8d8c05,2013-09-19 20:01:38,2025-03-06 14:28:28,2025-03-06 14:14:10
/Users/jordanlanham/Documents/GitHub/CYBV-312/TESTDIR/more/Castle.JPG,1224201,b6cd6031f40c9164de8b77686318ca702a9dc6c1853beb2fbbe2efc534097278,2013-09-19 20:08:28,2025-03-06 14:28:27,2025-03-06 14:14:11
/Users/jordanlanham/Documents/GitHub/CYBV-312/TESTDIR/more/CoastLine.JPG,1997636,818d1ce0bcb3373aacd34f03165693e9964717851f795aef4b40f08bfdcfe7d3,2019-02-14 10:02:06,2025-03-06 14:28:27,2025-03-06 14:14:11
/Users/jordanlanham/Documents/GitHub/CYBV-312/TESTDIR/more/moreyet/Cat.jpg,446759,52d5722249b00842f2e96cc68808048f0341a6f9b5e65eb11585ef7b6967de1c,2013-09-19 20:22:52,2025-03-06 14:28:28,2025-03-06 14:14:11
/Users/jordanlanham/Documents/GitHub/CYBV-312/TESTDIR/more/moreyet/CoastLine.JPG,1997636,818d1ce0bcb3373aacd34f03165693e9964717851f795aef4b40f08bfdcfe7d3,2019-02-14 10:02:06,2025-03-06 14:28:28,2025-03-06 14:14:11
/Users/jordanlanham/Documents/GitHub/CYBV-312/TESTDIR/more/moreyet/Deutchland.JPG,600630,08447ed9d5639d36963ce554ee2ae61e63734d3eb445353cd83657512abe8643,2013-09-19 21:04:44,2025-03-06 14:28:28,2025-03-06 14:14:11
